concept_id,preferred_id,locale,source_course_ids,status
math.algebra.ring,gelanggang,id-ID,O013|O014,active
math.algebra.module,modul,id-ID,O013|O014,active
math.algebra.field,lapangan,id-ID,O013|O014,active
math.algebra.abelian_group,grup abelian,id-ID,O013|O014,active
math.category.category,kategori,id-ID,O013|O014,active
math.category.functor,funktor,id-ID,O013|O014,active
math.category.natural_transformation,transformasi alami,id-ID,O013|O014,active
math.category.monoidal_category,kategori monoidal,id-ID,O013|O014,active
math.category.limit,limit,id-ID,O013|O014,active
math.category.representability,keterwakilan,id-ID,O013|O014,active
math.category.enrichment,pengayaan kategori,id-ID,O013|O014,active
math.algebra.tensor_product,hasil kali tensor,id-ID,O013|O014,active
math.analysis.completion,pelengkapan,id-ID,O013|O014,active
math.algebra.submodule,submodul,id-ID,O013|O014,active
math.algebra.quotient_module,modul kuosien,id-ID,O013|O014,active
math.algebra.module_homomorphism,homomorfisme modul,id-ID,O013|O014,active
math.category.morphism,morfisme,id-ID,O013|O014,active
math.category.kernel,kernel,id-ID,O013|O014,active
math.category.cokernel,kokernel,id-ID,O013|O014,active
math.category.image,citra,id-ID,O013|O014,active
math.algebra.vector_space,ruang vektor,id-ID,O013|O014,active
math.homological.cochain_complex,kompleks kokrantai,id-ID,O014,active
math.homological.chain_complex,kompleks rantai,id-ID,O014,active
math.homological.differential,diferensial,id-ID,O014,active
math.homological.cohomology,kohomologi,id-ID,O013|O014,active
math.homological.homology,homologi,id-ID,O013|O014,active
math.homological.exact_sequence,barisan eksak,id-ID,O013|O014,active
math.homological.acyclic_complex,kompleks asiklik,id-ID,O014,active
math.homological.abelian_category,kategori abelian,id-ID,O014,active
math.homological.homological_algebra,aljabar homologis,id-ID,O014,active
math.topology.genus,genus,id-ID,O014,active
math.topology.betti_number,bilangan Betti,id-ID,O014,active
math.algebra.torsion,torsi,id-ID,O014,active
math.topology.topological_invariant,invarian topologis,id-ID,O014,active
math.homological.universal_coefficient_theorem,teorema koefisien universal,id-ID,O014,active
math.homological.cup_product,hasil kali cup,id-ID,O014,active
math.homotopy.aspherical_space,ruang asferis,id-ID,O014,active
math.homotopy.homotopy_group,grup homotopi,id-ID,O014,active
math.homological.group_cohomology,kohomologi grup,id-ID,O014,active
math.algebra.syzygy,sizigi,id-ID,O014,active
math.homological.free_resolution,resolusi bebas,id-ID,O014,active
math.homological.group_extension,ekstensi grup,id-ID,O014,active
math.algebra.derivation,derivasi,id-ID,O014,active
math.algebra.inner_derivation,derivasi dalam,id-ID,O014,active
math.homological.hochschild_homology,homologi Hochschild,id-ID,O014,active
math.homological.hochschild_cohomology,kohomologi Hochschild,id-ID,O014,active
math.algebra.bimodule,bimodul,id-ID,O014,active
math.geometry.sheaf,berkas,id-ID,O014,active
math.homological.spectral_sequence,barisan spektral,id-ID,O014,active
math.homological.sheaf_cohomology,kohomologi berkas,id-ID,O014,active
math.homological.injective_module,modul injektif,id-ID,O014,active
math.homological.projective_module,modul projektif,id-ID,O014,active
math.homological.injective_resolution,resolusi injektif,id-ID,O014,active
math.homological.projective_resolution,resolusi projektif,id-ID,O014,active
math.homological.derived_functor,funktor turunan,id-ID,O014,active
math.category.additive_category,kategori aditif,id-ID,O014,active
math.category.strict_morphism,morfisme ketat,id-ID,O014,active
math.homological.delta_functor,funktor-δ,id-ID,O014,active
math.category.grothendieck_category,kategori Grothendieck,id-ID,O014,active
math.homological.derived_category,kategori turunan,id-ID,O014,active
math.homological.quasi_isomorphism,kuasi-isomorfisme,id-ID,O014,active
math.category.localization,lokalisasi kategoris,id-ID,O014,active
math.homological.distinguished_triangle,segitiga terbedakan,id-ID,O014,provisional
math.homological.shift,pergeseran,id-ID,O014,active
math.homological.triangulated_category,kategori bertriangulasi,id-ID,O014,provisional
math.homotopy.cofiber_sequence,barisan kofiber,id-ID,O014,provisional
math.homological.octahedral_axiom,aksioma oktahedral,id-ID,O014,active
math.homological.derived_equivalence,ekuivalensi turunan,id-ID,O014,active
math.simplicial.simplicial_set,himpunan simplisial,id-ID,O014,active
math.simplicial.simplicial_object,objek simplisial,id-ID,O014,active
math.simplicial.nerve,saraf,id-ID,O014,provisional
math.simplicial.dold_kan_correspondence,korespondensi Dold-Kan,id-ID,O014,active
math.category.adjoint_equivalence,ekuivalensi adjoin,id-ID,O014,active
math.homological.bar_construction,konstruksi bar,id-ID,O014,active
math.homotopy.homotopical_algebra,aljabar homotopik,id-ID,O014,provisional
math.ktheory.higher_k_theory,teori K tingkat tinggi,id-ID,O014,active
math.category.infinity_category,kategori-∞,id-ID,O014,provisional
math.homological.complex,kompleks,id-ID,O014,active
math.homological.t_structure,struktur-t,id-ID,O014,provisional
math.representation.tilting_theory,teori tilting,id-ID,O014,provisional
math.category.dg_category,kategori-dg,id-ID,O014,provisional
math.category.monad_theory,teori monad,id-ID,O014,active
math.higher.higher_algebra,aljabar tingkat tinggi,id-ID,O014,provisional
math.category.functor_category,kategori funktor,id-ID,O014,active
math.category.serre_quotient,kuosien Serre,id-ID,O014,active
math.category.diagram_chase,pengejaran diagram,id-ID,O014,provisional
math.category.small_category,kategori kecil,id-ID,O014,active
math.category.fully_faithful,penuh dan setia,id-ID,O014,provisional
math.category.exact_embedding,pembenaman eksak,id-ID,O014,active
math.category.freyd_mitchell_theorem,teorema pembenaman Freyd-Mitchell,id-ID,O014,active
pedagogy.exercise,latihan,id-ID,O014,active
pedagogy.hint,petunjuk,id-ID,O014,active
publishing.cross_reference,rujuk silang,id-ID,O014,active
publishing.modular_writing,penulisan modular,id-ID,O014,active
pedagogy.optional_reading,bacaan pilihan,id-ID,O014,active
pedagogy.reading_guidance,Petunjuk Bacaan,id-ID,O014,active
math.category.category_theory,teori kategori,id-ID,O014,active
math.category.object,objek,id-ID,O014,active
math.set_theory.set,himpunan,id-ID,O014,active
math.set_theory.class,kelas,id-ID,O014,active
math.set_theory.proper_class,kelas sejati,id-ID,O014,provisional
math.set_theory.grothendieck_universe,semesta Grothendieck,id-ID,O014,provisional
math.set_theory.strongly_inaccessible_cardinal,kardinal tak terjangkau kuat,id-ID,O014,provisional
math.probability.probability_theory,teori probabilitas,id-ID,O014,active
math.measure.measure_theory,teori ukuran,id-ID,O014,active
math.category.kan_extension,ekstensi Kan,id-ID,O014,provisional
math.category.gabriel_zisman_localization,lokalisasi Gabriel-Zisman,id-ID,O014,active
math.homological.bicomplex,bikompleks,id-ID,O014,active
math.homological.mapping_cone,kerucut pemetaan,id-ID,O014,active
math.homological.k_injective_resolution,resolusi K-injektif,id-ID,O014,active
math.homological.k_projective_resolution,resolusi K-projektif,id-ID,O014,active
math.category.triangulated_functor,funktor bertriangulasi,id-ID,O014,provisional
math.homological.exact_couple,pasangan eksak,id-ID,O014,active
math.homological.filtered_complex,kompleks terfilter,id-ID,O014,provisional
math.group.group_homology,homologi grup,id-ID,O014,active
math.group.tate_cohomology,kohomologi Tate,id-ID,O014,active
math.group.profinite_group,grup profinit,id-ID,O014,active
math.group.profinite_group_cohomology,kohomologi grup profinit,id-ID,O014,active
math.group.nonabelian_cohomology,kohomologi nonabelian,id-ID,O014,provisional
math.algebra.differential_graded_structure,struktur diferensial bergradasi,id-ID,O014,provisional
math.algebra.coalgebra,koaljabar,id-ID,O014,active
math.algebra.bialgebra,bialjabar,id-ID,O014,active
math.algebra.hopf_algebra,aljabar Hopf,id-ID,O014,active
math.category.beck_monadicity_theorem,teorema monadisitas Beck,id-ID,O014,active
math.algebra.morita_theory,teori Morita,id-ID,O014,active
math.descent.flat_descent_modules,penurunan datar bagi modul,id-ID,O014,provisional
math.descent.galois_descent,penurunan Galois,id-ID,O014,provisional
math.category.duality,dualitas,id-ID,O014,active
math.category.reconstruction_theorem,teorema rekonstruksi,id-ID,O014,active
math.category.tannakian_category,kategori Tannakian,id-ID,O014,provisional
math.algebra.representation_theory,teori representasi,id-ID,O014,active
math.category.ind_object,objek-ind,id-ID,O014,provisional
math.category.pro_object,objek-pro,id-ID,O014,provisional
math.category.ind_construction,konstruksi Ind,id-ID,O014,provisional
publishing.errata,ralat,id-ID,O014,active
math.foundations.well_defined,terdefinisi dengan baik,id-ID,O014,active
math.order.partially_ordered_set,himpunan terurut parsial,id-ID,O014,active
math.order.preordered_set,himpunan praterurut,id-ID,O014,provisional
math.order.maximal_element,unsur maksimal,id-ID,O014,active
math.order.minimal_element,unsur minimal,id-ID,O014,active
math.order.upper_bound,batas atas,id-ID,O014,active
math.order.lower_bound,batas bawah,id-ID,O014,active
math.order.supremum,supremum,id-ID,O014,active
math.order.infimum,infimum,id-ID,O014,active
math.order.order_preserving_map,pemetaan yang mempertahankan urutan,id-ID,O014,active
math.order.order_isomorphism,isomorfisme antarhimpunan terurut parsial,id-ID,O014,active
math.order.totally_ordered_set,himpunan terurut total,id-ID,O014,active
math.order.well_ordered_set,himpunan terurut baik,id-ID,O014,active
math.set_theory.ordinal,ordinal,id-ID,O014,active
math.set_theory.cardinal,kardinal,id-ID,O014,active
math.set_theory.small_set,himpunan kecil,id-ID,O014,active
math.set_theory.small_cardinal,kardinal kecil,id-ID,O014,active
math.category.monomorphism,monomorfisme,id-ID,O014,active
math.category.epimorphism,epimorfisme,id-ID,O014,active
math.category.full_subcategory,subkategori penuh,id-ID,O014,active
math.category.product_category,kategori produk,id-ID,O014,active
math.category.discrete_category,kategori diskret,id-ID,O014,active
math.category.u_category,kategori-U,id-ID,O014,provisional
math.category.large_category,kategori besar,id-ID,O014,active
math.category.size_issues,masalah ukuran,id-ID,O014,active
math.category.faithful_functor,setia,id-ID,O014,active
math.category.essentially_surjective_functor,pada hakikatnya surjektif,id-ID,O014,provisional
math.category.two_cell,2-sel,id-ID,O014,active
math.category.opposite_category,kategori lawan,id-ID,O014,active
math.category.quasi_inverse,kuasi-invers,id-ID,O014,active
math.category.equivalence,ekuivalensi antarkategori,id-ID,O014,active
math.category.category_isomorphism,isomorfisme antarkategori,id-ID,O014,active
math.algebra.zero_divisor,pembagi nol,id-ID,O014,active
math.category.adjunction,adjungsi,id-ID,O014,provisional
math.category.adjunction_unit,unit,id-ID,O014,active
math.category.adjunction_counit,kounit,id-ID,O014,active
math.category.triangle_identities,identitas segitiga,id-ID,O014,active
math.category.colimit,limit induktif,id-ID,O014,provisional
math.category.small_limit,limit kecil,id-ID,O014,active
math.category.complete_category,kategori lengkap,id-ID,O014,active
math.category.cocomplete_category,kategori kolengkap,id-ID,O014,active
math.category.universal_property,sifat universal,id-ID,O014,active
math.category.equalizer,penyama,id-ID,O014,provisional
math.category.coequalizer,kopenyama,id-ID,O014,provisional
math.category.product,produk,id-ID,O014,active
math.category.coproduct,koproduk,id-ID,O014,active
math.algebra.direct_sum,jumlah langsung,id-ID,O014,active
math.category.yoneda_embedding,pembenaman Yoneda,id-ID,O014,active
math.category.terminal_object,objek terminal,id-ID,O014,active
math.category.initial_object,objek awal,id-ID,O014,active
math.category.zero_object,objek nol,id-ID,O014,active
math.category.zero_morphism,morfisme nol,id-ID,O014,active
math.category.fiber_product,produk serat,id-ID,O014,active
math.category.fiber_coproduct,koproduk serat,id-ID,O014,active
math.category.pullback,tarik balik,id-ID,O014,provisional
math.category.pushout,dorong keluar,id-ID,O014,provisional
math.category.subobject,subobjek,id-ID,O014,active
math.category.quotient_object,objek kuosien,id-ID,O014,provisional
math.category.coimage,kocitra,id-ID,O014,active
math.category.ab_category,kategori-Ab,id-ID,O014,provisional
math.category.additive_functor,funktor aditif,id-ID,O014,active
math.category.k_linear_category,kategori k-linear,id-ID,O014,provisional
math.category.preserves_limit,mempertahankan limit,id-ID,O014,provisional
math.category.creates_limit,menciptakan limit,id-ID,O014,provisional
math.category.cofinal_functor,funktor kofinal,id-ID,O014,active
math.category.filtered_inductive_limit,limit induktif terfilter,id-ID,O014,provisional
math.category.absolute_kan_extension,ekstensi Kan absolut,id-ID,O014,active
math.category.multiplicative_system,sistem multiplikatif,id-ID,O014,provisional
math.category.adjoint_functor_theorem,teorema funktor adjoin,id-ID,O014,active
math.category.generator,generator,id-ID,O014,provisional
math.category.cogenerator,kogenerator,id-ID,O014,provisional
math.category.left_cancellation_law,hukum kanselasi kiri,id-ID,O014,provisional
math.category.right_cancellation_law,hukum kanselasi kanan,id-ID,O014,provisional
math.category.subquotient,subkuosien,id-ID,O014,provisional
math.category.canonical_morphism,morfisme kanonik,id-ID,O014,active
math.set_theory.equivalence_class,kelas ekuivalensi,id-ID,O014,active
math.order.partial_order_relation,relasi urutan parsial,id-ID,O014,provisional
math.set_theory.injective_map,pemetaan injektif,id-ID,O014,active
math.set_theory.surjective_map,pemetaan surjektif,id-ID,O014,active
math.category.isomorphism,isomorfisme,id-ID,O014,active
math.category.projection_morphism,morfisme proyeksi,id-ID,O014,provisional
