diagram_id,unit_filename,local_order,alt_text_id,provenance
"appendix1-unit-135-d001","appendix1-unit-135.tex",1,"Diagram kategori: \Hom_{\mathcal{C}^\wedge}\left(h_{\mathcal{C}}(S), A \right) → A(S); {\left[ \Hom_{\mathcal{C}}(\cdot, S) \xrightarrow{\phi} A(\cdot) \right… → \phi_S(\identity_S).","id-ID/appendix1-unit-135.tex:69; tikzcd mandiri"
"appendix1-unit-135-d002","appendix1-unit-135.tex",2,"Diagram kategori: \Hom_{\mathcal{C}^\vee}\left(B, k_{\mathcal{C}}(S) \right) → \Hom_{\cate{Set}^{\mathcal{C}}}\left(k_{\mathcal{C}}(S), B \right); \Hom_{\cate{Set}^{\mathcal{C}}}\left(k_{\mathcal{C}}(S), B \right) → B(S); {\left[ \Hom_{\mathcal{C}}(S, \cdot) \xrightarrow{\psi} B(\cdot) \right… → \p…","id-ID/appendix1-unit-135.tex:72; tikzcd mandiri"
"appendix1-unit-135-d003","appendix1-unit-135.tex",3,"Diagram komutatif: \mathcal{C}^\wedge → \mathcal{D}. (\tilde{F}); \mathcal{C} → \mathcal{C}^\wedge (h_{\mathcal{C}}); \mathcal{C} → \mathcal{D}. (F).","id-ID/appendix1-unit-135.tex:194; tikzcd mandiri"
"appendix1-unit-137-d001","appendix1-unit-137.tex",1,"Diagram kategori: \End_R(R) → \End(P(R)) (P); \End(P(R)) → \End(s) (\sim); \varphi → \varepsilon_s \varphi \varepsilon_s^{-1} .; r → \lambda_r; R → \End_R(R) (\sim); R → \End(s).","id-ID/appendix1-unit-137.tex:18; tikzcd mandiri"
"appendix1-unit-137-d002","appendix1-unit-137.tex",2,"Diagram kategori: \Hom(PG(s), Y) → \Hom_R(G(s), G(Y)) (\sim); \Hom(s, Y) → \Hom(PG(s), Y) (\varepsilon_s^*); \Hom(s, Y) → \Hom_R(G(s), G(Y)) (G); \Hom(s, Y) → G(Y) (\identity); \Hom_R(G(s), G(Y)) → G(Y) (\sim); \psi → \psi(1_R)..","id-ID/appendix1-unit-137.tex:25; tikzcd mandiri"
"appendix1-unit-137-d003","appendix1-unit-137.tex",3,"Diagram kategori: P(R) → P(R) (P(\lambda_r)); P(R) → s (\varepsilon_s); s → s (r).","id-ID/appendix1-unit-137.tex:36; tikzcd mandiri"
"appendix1-unit-137-d004","appendix1-unit-137.tex",4,"Diagram kategori: \Hom(PM, X) → \Hom_R(M, GX) (\sim); \Hom(PM, X) → \Hom(PN, X) ((P\psi)^*); \Hom_R(M, GX) → \Hom_R(N, GX) . (\psi^*); \Hom(PN, X) → \Hom_R(N, GX) . (\sim).","id-ID/appendix1-unit-137.tex:64; tikzcd mandiri"
"appendix1-unit-137-d005","appendix1-unit-137.tex",5,"Diagram kategori: PG(s) → s (\sim); PG(s) → PG(X) (PG(\alpha)); s → X (\alpha); PG(X) → X (\varepsilon_X).","id-ID/appendix1-unit-137.tex:72; tikzcd mandiri"
"appendix1-unit-138-d001","appendix1-unit-138.tex",1,"Diagram kategori dengan persegi bertanda \Box: Q_j → P_i; Q_j → X/X_{i+1} (\psi_j); X/X_{i+1} ↠ X/X_i; P_i → X/X_i (\phi_j); satu persegi diberi tanda \Box.","id-ID/appendix1-unit-138.tex:91; tikzcd mandiri"
"appendix1-unit-138-d002","appendix1-unit-138.tex",2,"Diagram kategori: P_{i+1} → Q_j (t_j); P_{i+1} → P_i (p^{i+1}_i); Q_j → X/X_{i+1} (\psi_j); Q_j → P_i; X/X_{i+1} ↠ X/X_i; P_i → X/X_i (\phi_j).","id-ID/appendix1-unit-138.tex:100; tikzcd mandiri"
